start_time,end_time,duration,text
0.0,1.54,1.54,"Hey, how's it going Dave 2d here?"
1.54,5.7,4.16,This is a Microsoft Surface go and when they first announced it I was interested in it
5.7,8.939,3.239,It seemed like a pretty compelling device having used it for a little while
8.94,16.23,7.29,I really think this is seriously the best product that Microsoft has put out in a very long time this thing starts at $400
16.23,20.459,4.229,I don't think that base configuration is where you want to spend the money though. They have a mid tier one
21.16,26.189,5.029,550 quite a bit more but you're getting double the RAM double the storage but significantly faster storage
26.26,30.75,4.49,That is the model that I think most people should pick up if you can afford that price bump
30.75,34.049,3.299,"so this unit here, is that mid tier model the"
34.78,36.78,2.0,$550 unit and I
37.42,42.629000000000005,5.209,"Really like it. Ok, let's go around. This thing build quality is great. It's a surface product"
42.629,45.839,3.21,It has a magnesium enclosure fit and finish on this is really well done
45.84,46.480000000000004,0.64,the
46.48,50.788999999999994,4.309,Top surface has these new rounded edges and it actually makes the device a lot more comfortable to hold
50.91,53.968999999999994,3.059,Not that the original surface products are like uncomfortable
54.25,59.669,5.419,But this small detail just makes it that much more ergonomic and that much more inviting to use
59.739,63.058,3.319,It's a nice touch and I think Microsoft should put this kind of
63.219,67.889,4.67,Rounded edge on all of their products because it does make a difference. The screen is a 10 inch screen
67.89,69.78,1.89,I thought I'd be a little bit small for what I do
69.78,75.75,5.97,"But it actually isn't it is noticeably smaller compared to like a 12 or 13 inch screen, but it doesn't feel particularly cramped"
75.75,80.669,4.919,It's still a very usable surface area the bezels around that screen though are thick now visually
80.67,84.0,3.33,It's not attractive right having thick bezels. Like this doesn't look good
84.0,87.839,3.839,"But when you're actually using it, you won't notice it you'll be focused on your content"
87.84,90.99000000000001,3.15,it's just that when this devices off or it's just sitting there and you're kind of
91.21,97.199,5.989,examining it visually the bezels are thick the panel itself is nice its sharp great colors and brightness and
97.36,99.959,2.599,Hitting a price point like this with this kind of screen
99.96,105.029,5.069,It could not have been easy. Like we see four or five hundred dollar devices out there that have terrible screens
105.13,110.009,4.879,This thing looks really good. There is pen support as usual and feels relatively lag free to me
110.009,110.909,0.9,I'm not an artist
110.909,116.129,5.22,But the surface area feels reasonably sized for people that want to use it for any kind of digital creative work
116.35,120.119,3.769,Now on the side are two speakers and they sound really good for this kind of device size
120.219,121.689,1.47,nice body to the sound
121.689,127.04899999999999,5.36,Excellent stereo separation just from the positioning and you just get really clean audio that gets to a decent volume
127.119,132.689,5.57,You also get a killer killer webcam $400 gets your webcam of this quality
132.69,136.079,3.389,it's actually one of the best kans I've seen on any laptop period but when you compare
136.39,140.25,3.86,This webcam to something like a 12-inch MacBook. It just blows my mind
140.25,145.589,5.339,"I mean if you can stick a webcam like this into a $400 device, there's no excuse for other people"
145.59,150.96,5.37,"They should be using really good webcams and no one else is doing it, but surface does so good for them"
151.78,158.1,6.32,this device though is not complete without the keyboard and the keyboard is a
158.95,165.63,6.68,"Hundred bucks, which is crazy expensive you think about it. That's like at the base model. That's 20% of the cost, but"
166.6,173.369,6.769,"That's what we have. Okay, when it's connected up and it connects magnetically. It is an awesome. Awesome"
174.04,174.72,0.68,productivity device
174.72,180.179,5.459,So I was concerned that this keyboard would be really small and cramped and just kind of weird feeling because it is a lot smaller
180.18,185.61,5.43,Than the regular service devices. It's not cramped. It's excellent. It does take a little bit of time to get used to it
185.61,191.10000000000002,5.49,But it is a really comfortable keyboard the trackpad feels good. It's a surface product
191.1,196.409,5.309,So tracking is accurate and gestures work nicely. But the pad is a little small. Maybe it's a visual thing
196.41,201.689,5.279,I just wish there's a little bit more surface area to this trackpad. Okay performance on this device is
202.209,205.859,3.65,"Good, it's not amazing. It's a Pentium Gold chip and most productivity stuff"
205.86,210.3,4.44,Like emails web browsing or any kind of work-related stuff runs really smoothly on this
210.31,216.33,6.02,So the drive feeds on the mid-tier model actually really good fast read speed but on the slower drive of the base model the whole
216.33,220.8,4.47,System is gonna feel a bit more sluggish and that reason alone makes it worth it to upgrade to the mid-tier model
221.2,225.089,3.889,Battery life is also pretty good getting around seven hours of battery life and to charge it
225.09,229.05,3.96,You can either use the included surface connect adapter or you can use the USB C port
